head,tail,score,strength_pct,pr_head,pr_tail,pr_sum
MONDO:0005090,MONDO:0002909,-10.012749671936035,0.5942454946244876,11.324137863807197,5.1847974469837395,16.508935310790935
MONDO:0002909,MONDO:0005280,-9.882665634155272,0.5399953592698585,5.1847974469837395,8.888764643744905,14.073562090728643
MONDO:0005602,MONDO:0002031,-9.874383926391602,0.5366385644674763,2.7152431706201,4.078596839219128,6.7938400098392275
HGNC:18226,MONDO:0002031,-9.869707107543944,0.5346121123056694,5.311809719607034,4.078596839219128,9.390406558826161
HGNC:18226,MONDO:0005292,-9.850107192993164,0.5261969216490061,5.311809719607034,9.320187566843083,14.631997286450117
MONDO:0005292,MONDO:0002909,-9.845778465270996,0.5241859385876712,9.320187566843083,5.1847974469837395,14.504985013826822
MONDO:0006955,MONDO:0002031,-9.835548400878906,0.5192590300874005,38.098863384854255,4.078596839219128,42.177460224073386
MONDO:0002909,MONDO:0005090,-9.723289489746094,0.47098770206512486,5.1847974469837395,11.324137863807197,16.508935310790935
MONDO:0005602,MONDO:0005292,-9.721823692321776,0.4703225307448372,2.7152431706201,9.320187566843083,12.035430737463184
MONDO:0002909,MONDO:0005292,-9.677504539489746,0.451125377059324,5.1847974469837395,9.320187566843083,14.504985013826822
HGNC:17959,MONDO:0005280,-9.65513038635254,0.44184391677623946,3.7825274758276137,8.888764643744905,12.671292119572518
MONDO:0005090,MONDO:0005602,-9.572051048278809,0.4052749632608864,11.324137863807197,2.7152431706201,14.039381034427297
HGNC:17959,MONDO:0000709,-9.502933502197266,0.37636321447907806,3.7825274758276137,6.139022715547766,9.92155019137538
MONDO:0002909,MONDO:0002031,-9.480523109436035,0.3671436305978807,5.1847974469837395,4.078596839219128,9.263394286202868
HGNC:17959,MONDO:0002909,-9.464550971984863,0.36090958310774224,3.7825274758276137,5.1847974469837395,8.967324922811354
MONDO:0005280,MONDO:0002909,-9.455625534057615,0.3570423079897904,8.888764643744905,5.1847974469837395,14.073562090728643
MONDO:0005090,MONDO:0005292,-9.434181213378906,0.3479464769123676,11.324137863807197,9.320187566843083,20.64432543065028
HGNC:17959,MONDO:0005602,-9.43284511566162,0.3473431819939671,3.7825274758276137,2.7152431706201,6.497770646447714
MONDO:0005090,MONDO:0006955,-9.40007781982422,0.3344110139995359,11.324137863807197,38.098863384854255,49.42300124866145
MONDO:0005292,MONDO:0005090,-9.39794921875,0.3333436460669812,9.320187566843083,11.324137863807197,20.64432543065028
MONDO:0002031,MONDO:0005602,-9.3435640335083,0.31255317503287183,4.078596839219128,2.7152431706201,6.7938400098392275
MONDO:0000709,MONDO:0005292,-9.305870056152344,0.29795034418748545,6.139022715547766,9.320187566843083,15.459210282390849
MONDO:0005280,MONDO:0005292,-9.246617317199709,0.27558202490525174,8.888764643744905,9.320187566843083,18.208952210587988
HGNC:18226,MONDO:0005602,-9.202853202819824,0.2598499497254234,5.311809719607034,2.7152431706201,8.027052890227134
MONDO:0005280,MONDO:0005602,-9.194849967956545,0.25678706783200556,8.888764643744905,2.7152431706201,11.604007814365005
MONDO:0005292,MONDO:0002031,-9.179388999938965,0.2514502281692319,9.320187566843083,4.078596839219128,13.398784406062212
HGNC:17959,MONDO:0006955,-9.1675386428833,0.24721169463995674,3.7825274758276137,38.098863384854255,41.88139086068187
HGNC:18226,MONDO:0002909,-9.13376808166504,0.23513032717147497,5.311809719607034,5.1847974469837395,10.496607166590774
MONDO:0000709,MONDO:0005090,-9.130298614501951,0.23379998453089956,6.139022715547766,11.324137863807197,17.463160579354962
HGNC:17959,MONDO:0005292,-9.11291790008545,0.22778250444736636,3.7825274758276137,9.320187566843083,13.102715042670697
MONDO:0002031,MONDO:0006955,-8.975332260131836,0.18584577306829608,4.078596839219128,38.098863384854255,42.177460224073386
MONDO:0000709,MONDO:0006955,-8.894049644470215,0.16261118415964115,6.139022715547766,38.098863384854255,44.23788610040202
MONDO:0005280,MONDO:0002031,-8.706628799438477,0.11744141078196302,8.888764643744905,4.078596839219128,12.967361482964034
MONDO:0005292,MONDO:0005602,-8.634578704833984,0.10342640575450535,9.320187566843083,2.7152431706201,12.035430737463184
MONDO:0002909,MONDO:0006955,-8.539253234863281,0.0853275582024905,5.1847974469837395,38.098863384854255,43.28366083183799
MONDO:0000709,MONDO:0002031,-8.407639503479004,0.06497022198159175,6.139022715547766,4.078596839219128,10.217619554766895
MONDO:0000709,MONDO:0005602,-8.309167861938477,0.052966200015469145,6.139022715547766,2.7152431706201,8.854265886167866
HGNC:17959,MONDO:0005090,-8.256292343139648,0.04688684353004868,3.7825274758276137,11.324137863807197,15.10666533963481
MONDO:0005292,MONDO:0006955,-8.052602767944336,0.028246577461520594,9.320187566843083,38.098863384854255,47.419050951697336
MONDO:0005280,MONDO:0006955,-7.941477298736572,0.020620310928919472,8.888764643744905,38.098863384854255,46.98762802859916
HGNC:18226,MONDO:0006955,-7.713449954986572,0.01068914842601898,5.311809719607034,38.098863384854255,43.41067310446129
